loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_cer,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.47660491943359373,1.515845537185669,9.778280542986427e-06,0.22675736961451248,50,,,,,,,,,,
,,,0.22675736961451248,50,0.184197798371315,0.05167359216865934,43.7236,10.361,1.304,,,,,
0.4618601989746094,2.358497381210327,9.552036199095024e-06,0.45351473922902497,100,,,,,,,,,,
,,,0.45351473922902497,100,0.17895261943340302,0.049634180538914524,45.0983,10.045,1.264,,,,,
0.4632295227050781,4.010452747344971,9.32579185520362e-06,0.6802721088435374,150,,,,,,,,,,
,,,0.6802721088435374,150,0.17452658712863922,0.04904784969536289,44.8296,10.105,1.271,,,,,
0.46571456909179687,1.522708535194397,9.099547511312218e-06,0.9070294784580499,200,,,,,,,,,,
,,,0.9070294784580499,200,0.17128877341747284,0.04784969536288781,45.0573,10.054,1.265,,,,,
0.42976978302001956,2.4724056720733643,8.873303167420814e-06,1.1315192743764173,250,,,,,,,,,,
,,,1.1315192743764173,250,0.17128880321979523,0.04790068065363143,45.1502,10.033,1.262,,,,,
0.41786224365234376,5.17779541015625,8.647058823529413e-06,1.3582766439909297,300,,,,,,,,,,
,,,1.3582766439909297,300,0.16834209859371185,0.04711040864710531,45.3353,9.992,1.257,,,,,
0.4295668029785156,1.6738454103469849,8.42081447963801e-06,1.5850340136054422,350,,,,,,,,,,
,,,1.5850340136054422,350,0.16625919938087463,0.04637112193132281,45.6629,9.921,1.248,,,,,
0.42921134948730466,1.9583121538162231,8.194570135746607e-06,1.8117913832199548,400,,,,,,,,,,
,,,1.8117913832199548,400,0.1625974178314209,0.046957452774874446,45.7138,9.909,1.247,,,,,
0.3984107971191406,1.6116135120391846,7.968325791855203e-06,2.036281179138322,450,,,,,,,,,,
,,,2.036281179138322,450,0.16181537508964539,0.04616718076834833,45.7113,9.91,1.247,,,,,
0.3946089172363281,5.781798839569092,7.742081447963802e-06,2.2630385487528346,500,,,,,,,,,,
,,,2.2630385487528346,500,0.16103070974349976,0.046294643995207385,45.5882,9.937,1.25,,,,,
0.40160186767578127,2.456378221511841,7.5158371040723985e-06,2.489795918367347,550,,,,,,,,,,
,,,2.489795918367347,550,0.1598910242319107,0.045708313151655744,44.6489,10.146,1.277,,,,,
0.40544647216796875,1.7841498851776123,7.289592760180995e-06,2.7165532879818595,600,,,,,,,,,,
,,,2.7165532879818595,600,0.15834061801433563,0.045402401407194024,45.2936,10.001,1.258,,,,,
0.4112580490112305,1.2822768688201904,7.063348416289594e-06,2.943310657596372,650,,,,,,,,,,
,,,2.943310657596372,650,0.1577065885066986,0.045606342570168504,45.5528,9.944,1.251,,,,,
0.3922177505493164,2.219186544418335,6.837104072398191e-06,3.1678004535147393,700,,,,,,,,,,
,,,3.1678004535147393,700,0.15786203742027283,0.0450964896627323,44.7081,10.132,1.275,,,,,
0.3969502258300781,2.316457509994507,6.6108597285067876e-06,3.3945578231292517,750,,,,,,,,,,
,,,3.3945578231292517,750,0.15626098215579987,0.04504550437198868,45.9494,9.859,1.24,,,,,
0.4002256393432617,3.2834932804107666,6.384615384615384e-06,3.621315192743764,800,,,,,,,,,,
,,,3.621315192743764,800,0.1556500494480133,0.04512198230810411,44.5071,10.178,1.281,,,,,
0.38975479125976564,1.6951463222503662,6.158371040723983e-06,3.8480725623582765,850,,,,,,,,,,
,,,3.8480725623582765,850,0.1558312326669693,0.04496902643587325,44.9091,10.087,1.269,,,,,
0.38839038848876956,1.9863245487213135,5.93212669683258e-06,4.072562358276644,900,,,,,,,,,,
,,,4.072562358276644,900,0.1543843150138855,0.0453259234710786,44.2922,10.228,1.287,,,,,
0.38614112854003907,1.6515940427780151,5.705882352941177e-06,4.299319727891157,950,,,,,,,,,,
,,,4.299319727891157,950,0.15439331531524658,0.044790577918270576,44.1073,10.27,1.292,,,,,
0.37427539825439454,1.6858147382736206,5.479638009049774e-06,4.526077097505669,1000,,,,,,,,,,
,,,4.526077097505669,1000,0.15393520891666412,0.044484666173808855,44.245,10.238,1.288,,,,,
0.3886326599121094,3.008352041244507,5.253393665158372e-06,4.752834467120182,1050,,,,,,,,,,
,,,4.752834467120182,1050,0.15385086834430695,0.044280725010834375,44.4555,10.19,1.282,,,,,
0.37729171752929686,3.581510066986084,5.027149321266969e-06,4.979591836734694,1100,,,,,,,,,,
,,,4.979591836734694,1100,0.15321862697601318,0.044382695592321615,44.2331,10.241,1.289,,,,,
0.3556885528564453,2.782209634780884,4.800904977375566e-06,5.204081632653061,1150,,,,,,,,,,
,,,5.204081632653061,1150,0.15306687355041504,0.04405129120248808,44.4344,10.195,1.283,,,,,
0.4028372955322266,1.770841360092163,4.5746606334841634e-06,5.430839002267573,1200,,,,,,,,,,
,,,5.430839002267573,1200,0.15165279805660248,0.04415326178397532,44.028,10.289,1.295,,,,,
0.35233909606933594,2.160066843032837,4.34841628959276e-06,5.657596371882086,1250,,,,,,,,,,
,,,5.657596371882086,1250,0.15123461186885834,0.044178754429347135,44.3056,10.224,1.287,,,,,
0.37490516662597656,1.77897310256958,4.122171945701358e-06,5.884353741496598,1300,,,,,,,,,,
,,,5.884353741496598,1300,0.15090815722942352,0.044025798557116275,44.5103,10.177,1.281,,,,,
0.36197265625,1.859769344329834,3.895927601809955e-06,6.108843537414966,1350,,,,,,,,,,
,,,6.108843537414966,1350,0.15019041299819946,0.04405129120248808,44.306,10.224,1.287,,,,,
0.3770563507080078,2.407858371734619,3.669683257918552e-06,6.3356009070294785,1400,,,,,,,,,,
,,,6.3356009070294785,1400,0.1500052660703659,0.04371988681265455,43.9555,10.306,1.297,,,,,
0.3774572372436523,3.1456284523010254,3.4434389140271494e-06,6.562358276643991,1450,,,,,,,,,,
,,,6.562358276643991,1450,0.14982077479362488,0.04379636474876998,44.4416,10.193,1.283,,,,,
0.3761553192138672,1.9627512693405151,3.217194570135747e-06,6.789115646258503,1500,,,,,,,,,,
,,,6.789115646258503,1500,0.14951026439666748,0.04400030591174446,44.5219,10.175,1.28,,,,,
0.3378962326049805,2.141680955886841,2.990950226244344e-06,7.01360544217687,1550,,,,,,,,,,
,,,7.01360544217687,1550,0.14937515556812286,0.04377087210339817,44.5451,10.169,1.28,,,,,
0.3572941589355469,1.4509193897247314,2.7647058823529416e-06,7.240362811791384,1600,,,,,,,,,,
,,,7.240362811791384,1600,0.14947085082530975,0.04364340887653912,44.3689,10.21,1.285,,,,,
0.36246452331542967,2.6309149265289307,2.5384615384615385e-06,7.467120181405896,1650,,,,,,,,,,
,,,7.467120181405896,1650,0.14857250452041626,0.04374537945802636,43.1186,10.506,1.322,,,,,
0.36514518737792967,1.258178472518921,2.312217194570136e-06,7.6938775510204085,1700,,,,,,,,,,
,,,7.6938775510204085,1700,0.14875344932079315,0.04354143829505188,43.0028,10.534,1.325,,,,,
0.3576249694824219,2.1272952556610107,2.0859728506787334e-06,7.920634920634921,1750,,,,,,,,,,
,,,7.920634920634921,1750,0.14902250468730927,0.04351594564968007,43.4165,10.434,1.313,,,,,
0.3571807479858398,2.1714818477630615,1.8597285067873305e-06,8.145124716553289,1800,,,,,,,,,,
,,,8.145124716553289,1800,0.14890950918197632,0.04338848242282101,42.8936,10.561,1.329,,,,,
0.36400814056396485,1.8616962432861328,1.6334841628959278e-06,8.371882086167801,1850,,,,,,,,,,
,,,8.371882086167801,1850,0.14876170456409454,0.04349045300430826,43.5282,10.407,1.309,,,,,
0.3542484283447266,2.6231753826141357,1.407239819004525e-06,8.598639455782314,1900,,,,,,,,,,
,,,8.598639455782314,1900,0.14806866645812988,0.04341397506819283,43.4829,10.418,1.311,,,,,
0.3566457748413086,1.5707881450653076,1.1809954751131223e-06,8.825396825396826,1950,,,,,,,,,,
,,,8.825396825396826,1950,0.1482435166835785,0.04366890152191093,43.3869,10.441,1.314,,,,,
0.3424967193603516,1.9482667446136475,9.547511312217196e-07,9.049886621315192,2000,,,,,,,,,,
,,,9.049886621315192,2000,0.14805565774440765,0.04374537945802636,43.8934,10.32,1.299,,,,,
0.3501358795166016,3.4005703926086426,7.285067873303169e-07,9.276643990929704,2050,,,,,,,,,,
,,,9.276643990929704,2050,0.14794793725013733,0.0435924235857955,43.3956,10.439,1.313,,,,,
0.34663631439208986,3.4177138805389404,5.022624434389141e-07,9.503401360544217,2100,,,,,,,,,,
,,,9.503401360544217,2100,0.14786213636398315,0.04343946771356463,42.9578,10.545,1.327,,,,,
0.33765228271484377,1.4553852081298828,2.7601809954751134e-07,9.73015873015873,2150,,,,,,,,,,
,,,9.73015873015873,2150,0.14790017902851105,0.04366890152191093,42.9119,10.557,1.328,,,,,
0.349036865234375,2.8935556411743164,4.9773755656108595e-08,9.956916099773242,2200,,,,,,,,,,
,,,9.956916099773242,2200,0.14782869815826416,0.0435924235857955,43.1095,10.508,1.322,,,,,
,,,10.0,2210,,,,,,14686.9981,4.801,0.15,3.465580136021298e+19,0.3860943794250488
