loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_cer,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.07049072265625,1.6647948026657104,9.778280542986427e-06,0.22675736961451248,50,,,,,,,,,,
,,,0.22675736961451248,50,0.5219501256942749,0.12048967346173421,45.1097,10.042,1.264,,,,,
0.9534622192382812,1.6915831565856934,9.552036199095024e-06,0.45351473922902497,100,,,,,,,,,,
,,,0.45351473922902497,100,0.334930419921875,0.08606787924245266,45.1028,10.044,1.264,,,,,
0.7751542663574219,3.300119161605835,9.32579185520362e-06,0.6802721088435374,150,,,,,,,,,,
,,,0.6802721088435374,150,0.2845273017883301,0.07312957059816239,44.9965,10.067,1.267,,,,,
0.7010317993164062,1.7500858306884766,9.099547511312218e-06,0.9070294784580499,200,,,,,,,,,,
,,,0.9070294784580499,200,0.2594614326953888,0.0684149902226032,45.3008,10.0,1.258,,,,,
0.6264186096191406,2.0716662406921387,8.873303167420814e-06,1.1315192743764173,250,,,,,,,,,,
,,,1.1315192743764173,250,0.24456872045993805,0.06621842436580858,44.8999,10.089,1.269,,,,,
0.5887751007080078,2.9158804416656494,8.647058823529413e-06,1.3582766439909297,300,,,,,,,,,,
,,,1.3582766439909297,300,0.23261602222919464,0.06474511799844633,44.5079,10.178,1.281,,,,,
0.5829700469970703,1.0878021717071533,8.42081447963801e-06,1.5850340136054422,350,,,,,,,,,,
,,,1.5850340136054422,350,0.22340066730976105,0.06311108730009911,45.0957,10.045,1.264,,,,,
0.5704648971557618,2.091355323791504,8.194570135746607e-06,1.8117913832199548,400,,,,,,,,,,
,,,1.8117913832199548,400,0.21430155634880066,0.061075245774289466,45.3101,9.998,1.258,,,,,
0.5248622894287109,1.5545686483383179,7.968325791855203e-06,2.036281179138322,450,,,,,,,,,,
,,,2.036281179138322,450,0.20720994472503662,0.058075058262569985,44.5246,10.174,1.28,,,,,
0.5073231506347656,2.0264813899993896,7.742081447963802e-06,2.2630385487528346,500,,,,,,,,,,
,,,2.2630385487528346,500,0.2017485648393631,0.05649460234121775,44.1777,10.254,1.29,,,,,
0.5042921829223633,1.6348016262054443,7.5158371040723985e-06,2.489795918367347,550,,,,,,,,,,
,,,2.489795918367347,550,0.19567322731018066,0.055101658139347996,44.7899,10.114,1.273,,,,,
0.49953380584716794,2.3368914127349854,7.289592760180995e-06,2.7165532879818595,600,,,,,,,,,,
,,,2.7165532879818595,600,0.19085019826889038,0.054512335592403094,44.902,10.089,1.269,,,,,
0.49680404663085936,1.2271809577941895,7.063348416289594e-06,2.943310657596372,650,,,,,,,,,,
,,,2.943310657596372,650,0.18690676987171173,0.05344084005250328,44.6986,10.135,1.275,,,,,
0.47109165191650393,2.2944283485412598,6.837104072398191e-06,3.1678004535147393,700,,,,,,,,,,
,,,3.1678004535147393,700,0.18437917530536652,0.05223540757011599,45.1201,10.04,1.263,,,,,
0.4671075439453125,1.752544641494751,6.6108597285067876e-06,3.3945578231292517,750,,,,,,,,,,
,,,3.3945578231292517,750,0.1806294322013855,0.05057458948327127,45.5969,9.935,1.25,,,,,
0.4702304840087891,1.7837539911270142,6.384615384615384e-06,3.621315192743764,800,,,,,,,,,,
,,,3.621315192743764,800,0.17760682106018066,0.04961024349736144,44.8131,10.109,1.272,,,,,
0.4544938278198242,4.755154132843018,6.158371040723983e-06,3.8480725623582765,850,,,,,,,,,,
,,,3.8480725623582765,850,0.17550210654735565,0.048163724518496695,45.1752,10.028,1.262,,,,,
0.44971786499023436,1.825748085975647,5.93212669683258e-06,4.072562358276644,900,,,,,,,,,,
,,,4.072562358276644,900,0.1730395257472992,0.04773512630253676,45.3304,9.993,1.257,,,,,
0.4437707901000977,1.211515188217163,5.705882352941177e-06,4.299319727891157,950,,,,,,,,,,
,,,4.299319727891157,950,0.17149686813354492,0.047440465029064315,45.1906,10.024,1.261,,,,,
0.4302410888671875,7.4737372398376465,5.479638009049774e-06,4.526077097505669,1000,,,,,,,,,,
,,,4.526077097505669,1000,0.17022165656089783,0.047226165921084355,45.5411,9.947,1.252,,,,,
0.4407173538208008,1.921225666999817,5.253393665158372e-06,4.752834467120182,1050,,,,,,,,,,
,,,4.752834467120182,1050,0.16902132332324982,0.04706544159009938,46.9779,9.643,1.213,,,,,
0.4271178436279297,7.552459716796875,5.027149321266969e-06,4.979591836734694,1100,,,,,,,,,,
,,,4.979591836734694,1100,0.16805490851402283,0.04690471725911441,45.5194,9.952,1.252,,,,,
0.4052323532104492,2.2166664600372314,4.800904977375566e-06,5.204081632653061,1150,,,,,,,,,,
,,,5.204081632653061,1150,0.1669739931821823,0.04652969382014947,45.1003,10.044,1.264,,,,,
0.4528485107421875,1.4864028692245483,4.5746606334841634e-06,5.430839002267573,1200,,,,,,,,,,
,,,5.430839002267573,1200,0.1655212789773941,0.04650290643165198,44.814,10.108,1.272,,,,,
0.39469539642333984,1.922290563583374,4.34841628959276e-06,5.657596371882086,1250,,,,,,,,,,
,,,5.657596371882086,1250,0.16513009369373322,0.04620824515817953,45.6019,9.934,1.25,,,,,
0.4196797943115234,1.3281328678131104,4.122171945701358e-06,5.884353741496598,1300,,,,,,,,,,
,,,5.884353741496598,1300,0.16446024179458618,0.046181457769682036,45.0174,10.063,1.266,,,,,
0.4044533920288086,2.3636558055877686,3.895927601809955e-06,6.108843537414966,1350,,,,,,,,,,
,,,6.108843537414966,1350,0.1628146469593048,0.046127882992687046,45.4109,9.976,1.255,,,,,
