loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_cer,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.0520208740234374,4.2813262939453125,9.90249433106576e-06,0.11337868480725624,50,,,,,,,,,,
0.8786668395996093,2.6547305583953857,9.789115646258505e-06,0.22675736961451248,100,,,,,,,,,,
,,,0.22675736961451248,100,0.2626926898956299,0.11491078083212766,46.136,9.819,1.235,,,,,
0.6575629425048828,4.572902202606201,9.675736961451247e-06,0.3401360544217687,150,,,,,,,,,,
0.4984309768676758,3.291116237640381,9.562358276643991e-06,0.45351473922902497,200,,,,,,,,,,
,,,0.45351473922902497,200,0.16319996118545532,0.0504186943750274,45.7955,9.892,1.245,,,,,
0.4758257675170898,2.4229536056518555,9.448979591836736e-06,0.5668934240362812,250,,,,,,,,,,
0.4209325408935547,23.6249942779541,9.33560090702948e-06,0.6802721088435374,300,,,,,,,,,,
,,,0.6802721088435374,300,0.1428660899400711,0.04748125739839537,44.5824,10.161,1.279,,,,,
0.42461135864257815,1.3533174991607666,9.222222222222224e-06,0.7936507936507936,350,,,,,,,,,,
0.39437519073486327,2.193587064743042,9.108843537414967e-06,0.9070294784580499,400,,,,,,,,,,
,,,0.9070294784580499,400,0.13084667921066284,0.045201455565785434,45.2001,10.022,1.261,,,,,
0.39213314056396487,2.4003188610076904,8.99546485260771e-06,1.0204081632653061,450,,,,,,,,,,
0.3822182083129883,2.7693605422973633,8.882086167800455e-06,1.1337868480725624,500,,,,,,,,,,
,,,1.1337868480725624,500,0.12643125653266907,0.04480687447937218,45.3102,9.998,1.258,,,,,
0.3696079635620117,3.848130226135254,8.768707482993198e-06,1.2471655328798186,550,,,,,,,,,,
0.3481929397583008,2.46814227104187,8.655328798185941e-06,1.3605442176870748,600,,,,,,,,,,
,,,1.3605442176870748,600,0.12291629612445831,0.0435792888771976,44.7085,10.132,1.275,,,,,
0.3339451599121094,4.314702033996582,8.541950113378686e-06,1.473922902494331,650,,,,,,,,,,
0.34710227966308593,2.2084169387817383,8.428571428571429e-06,1.5873015873015874,700,,,,,,,,,,
,,,1.5873015873015874,700,0.11885140091180801,0.04309702310491473,44.6963,10.135,1.275,,,,,
0.3481630325317383,2.8501858711242676,8.315192743764174e-06,1.7006802721088436,750,,,,,,,,,,
0.3880436706542969,2.4364259243011475,8.201814058956917e-06,1.8140589569160999,800,,,,,,,,,,
,,,1.8140589569160999,800,0.11693904548883438,0.042658599675566664,44.4908,10.182,1.281,,,,,
0.3257817459106445,2.0720930099487305,8.08843537414966e-06,1.927437641723356,850,,,,,,,,,,
0.335391960144043,2.552626132965088,7.975056689342405e-06,2.0408163265306123,900,,,,,,,,,,
,,,2.0408163265306123,900,0.11467140167951584,0.04252707264676224,44.9462,10.079,1.268,,,,,
0.33219223022460936,3.7032206058502197,7.861678004535148e-06,2.1541950113378685,950,,,,,,,,,,
0.36158233642578125,2.395862579345703,7.748299319727892e-06,2.2675736961451247,1000,,,,,,,,,,
,,,2.2675736961451247,1000,0.11586377769708633,0.042044806874479375,44.803,10.111,1.272,,,,,
0.3237926483154297,2.616872549057007,7.634920634920635e-06,2.380952380952381,1050,,,,,,,,,,
0.3317397689819336,1.741520643234253,7.521541950113379e-06,2.494331065759637,1100,,,,,,,,,,
,,,2.494331065759637,1100,0.11147178709506989,0.0422201762462186,44.9007,10.089,1.269,,,,,
0.3214027786254883,2.556342601776123,7.408163265306123e-06,2.6077097505668934,1150,,,,,,,,,,
0.29344743728637696,1.7952194213867188,7.294784580498867e-06,2.7210884353741496,1200,,,,,,,,,,
,,,2.7210884353741496,1200,0.11150789260864258,0.04169406813100092,45.3316,9.993,1.257,,,,,
0.31800022125244143,1.5575131177902222,7.181405895691611e-06,2.834467120181406,1250,,,,,,,,,,
0.3061703681945801,1.4683727025985718,7.068027210884354e-06,2.947845804988662,1300,,,,,,,,,,
,,,2.947845804988662,1300,0.10822826623916626,0.04165022578806611,45.7941,9.892,1.245,,,,,
0.31609941482543946,2.487995147705078,6.954648526077098e-06,3.061224489795918,1350,,,,,,,,,,
0.294617919921875,2.9897584915161133,6.841269841269842e-06,3.1746031746031744,1400,,,,,,,,,,
,,,3.1746031746031744,1400,0.10922229290008545,0.04173791047393573,45.3323,9.993,1.257,,,,,
0.2887345504760742,2.2073845863342285,6.727891156462586e-06,3.287981859410431,1450,,,,,,,,,,
0.33148536682128904,1.9164936542510986,6.614512471655329e-06,3.4013605442176873,1500,,,,,,,,,,
,,,3.4013605442176873,1500,0.10738907009363174,0.04143101407339208,45.8051,9.89,1.244,,,,,
0.30708330154418945,3.3873133659362793,6.501133786848073e-06,3.5147392290249435,1550,,,,,,,,,,
0.3048086738586426,1.9873769283294678,6.387755102040817e-06,3.6281179138321997,1600,,,,,,,,,,
,,,3.6281179138321997,1600,0.10701708495616913,0.04165022578806611,45.5958,9.935,1.25,,,,,
0.2945293045043945,2.8608944416046143,6.274376417233561e-06,3.741496598639456,1650,,,,,,,,,,
0.2818447113037109,3.6988472938537598,6.160997732426305e-06,3.854875283446712,1700,,,,,,,,,,
,,,3.854875283446712,1700,0.10632842034101486,0.04103643298697882,45.9488,9.859,1.241,,,,,
0.2966901397705078,3.595541000366211,6.047619047619048e-06,3.9682539682539684,1750,,,,,,,,,,
0.2774667167663574,2.084948778152466,5.934240362811792e-06,4.081632653061225,1800,,,,,,,,,,
,,,4.081632653061225,1800,0.10509680956602097,0.040641851900565566,46.3191,9.78,1.231,,,,,
0.30798398971557617,2.430593729019165,5.820861678004536e-06,4.195011337868481,1850,,,,,,,,,,
0.2803303146362305,2.510127067565918,5.7074829931972795e-06,4.308390022675737,1900,,,,,,,,,,
,,,4.308390022675737,1900,0.1038709208369255,0.04059800955763076,45.283,10.004,1.259,,,,,
0.2745608901977539,1.6554820537567139,5.5941043083900226e-06,4.421768707482993,1950,,,,,,,,,,
0.27887548446655275,3.747559070587158,5.4807256235827665e-06,4.535147392290249,2000,,,,,,,,,,
,,,4.535147392290249,2000,0.10304746776819229,0.04055416721469595,45.7335,9.905,1.246,,,,,
0.29782997131347655,1.4007798433303833,5.36734693877551e-06,4.648526077097506,2050,,,,,,,,,,
0.2820113754272461,2.3945982456207275,5.253968253968254e-06,4.761904761904762,2100,,,,,,,,,,
,,,4.761904761904762,2100,0.10197308659553528,0.04033495550002192,45.5254,9.95,1.252,,,,,
0.2951597595214844,2.3359344005584717,5.140589569160998e-06,4.875283446712018,2150,,,,,,,,,,
0.2869226264953613,2.8956046104431152,5.027210884353741e-06,4.988662131519274,2200,,,,,,,,,,
,,,4.988662131519274,2200,0.102857306599617,0.040422640185891534,45.52,9.952,1.252,,,,,
0.2770948219299316,4.183159351348877,4.913832199546485e-06,5.1020408163265305,2250,,,,,,,,,,
0.28279808044433596,3.9489033222198486,4.800453514739229e-06,5.215419501133787,2300,,,,,,,,,,
,,,5.215419501133787,2300,0.10078726708889008,0.04024727081415231,46.0043,9.847,1.239,,,,,
